t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
21.057,1414.56,3576.21,1876.25,37.6,REFRACTORY,open,
21.099,1274.58,3594.68,1876.40,36.6,REFRACTORY,open,
21.138,1268.81,3594.35,1876.97,37.0,REFRACTORY,open,
21.195,1297.08,3630.02,1911.99,32.9,REFRACTORY,open,
21.238,1189.50,3659.60,1926.81,27.7,REFRACTORY,open,
21.278,1408.65,3698.03,1958.86,21.9,REFRACTORY,open,
21.336,1187.83,3737.34,2009.26,15.4,REFRACTORY,open,
21.374,1360.70,3754.31,2049.18,12.1,REFRACTORY,open,
21.433,1108.79,3797.67,2063.26,11.2,REFRACTORY,open,
21.470,1313.96,3791.39,2065.25,14.8,REFRACTORY,open,
21.522,1056.49,3801.30,2086.55,11.4,REFRACTORY,open,
21.560,1206.39,3820.03,2094.57,8.9,IDLE,open,
21.617,1010.78,3843.26,2109.88,9.8,IDLE,open,
21.653,1131.22,3851.40,2137.06,9.0,IDLE,open,
21.709,997.35,3856.25,2154.11,8.7,IDLE,open,
21.746,1009.58,3871.65,2158.61,5.6,IDLE,open,
21.802,1083.42,3890.64,2191.45,5.2,IDLE,open,
21.842,1018.37,3905.27,2214.60,4.2,IDLE,open,
21.896,1253.16,3927.94,2225.98,5.9,IDLE,open,
21.944,1021.56,3963.70,2251.32,3.0,IDLE,open,
21.991,1276.45,4014.85,2261.58,5.4,IDLE,open,
22.027,968.71,4049.29,2266.88,5.3,IDLE,open,
22.090,1234.81,4069.98,2284.69,6.2,IDLE,open,
22.126,936.13,4105.61,2312.32,7.8,IDLE,open,
22.168,1097.93,4158.38,2336.61,6.7,IDLE,open,
22.223,946.34,4290.18,2422.99,6.3,IDLE,open,
22.264,1027.32,4396.55,2483.61,5.4,IDLE,open,
22.318,1045.80,4488.41,2598.50,5.3,IDLE,open,
22.355,1115.64,3269.95,2671.76,79.0,PULSE,open,
22.416,1803.18,5046.83,3285.93,548.0,PULSE,open,
22.465,1497.01,3190.79,2936.06,211.6,PULSE,open,
22.503,2026.03,2598.66,2276.02,133.2,PULSE,open,
22.550,1398.48,2282.42,1733.80,85.0,PULSE,open,
22.589,2114.77,2574.39,1843.97,191.1,PULSE,open,
22.648,1588.19,2986.43,2270.83,237.7,PULSE,open,
22.689,2176.56,2917.29,2604.86,257.6,PULSE,open,
22.736,1904.11,3011.20,2939.71,255.0,PULSE,open,
22.786,1898.34,2273.20,3178.87,202.2,PULSE,open,
22.825,1755.01,1992.90,2770.11,151.8,PULSE,open,
22.879,1695.52,1309.90,1972.89,97.5,PULSE,open,
22.918,1852.17,874.94,1644.58,66.8,PULSE,open,
22.975,1595.63,931.61,1240.83,25.7,PULSE,open,
23.015,1829.24,845.65,1336.81,6.7,REFRACTORY,close,close
23.071,1407.30,841.99,1277.34,15.5,REFRACTORY,close,
23.112,1662.87,926.06,1188.13,27.6,REFRACTORY,close,
23.164,1224.10,802.93,1223.93,35.0,REFRACTORY,close,
23.208,1497.31,773.40,1146.32,39.2,REFRACTORY,close,
23.247,1191.66,744.99,1178.92,42.1,REFRACTORY,close,
23.302,1404.28,695.81,1220.56,45.6,REFRACTORY,close,
23.341,1313.28,1220.11,1876.37,45.9,REFRACTORY,close,
23.397,1401.73,2449.22,1918.59,44.8,REFRACTORY,close,
23.435,1444.65,1938.57,1436.62,44.7,REFRACTORY,close,
23.486,1239.08,1707.02,1258.68,43.6,REFRACTORY,close,
23.533,1472.98,1651.90,1305.80,41.2,REFRACTORY,close,
23.582,1210.48,2503.76,2251.46,40.9,REFRACTORY,close,
23.629,1508.50,2741.59,2397.66,38.8,REFRACTORY,close,
23.667,1143.56,2895.59,2321.94,38.1,REFRACTORY,close,
23.725,1514.82,2866.56,2077.76,40.6,REFRACTORY,close,
23.769,1150.29,2875.91,1867.33,43.0,REFRACTORY,close,
23.809,1400.77,2891.31,1786.50,48.2,REFRACTORY,close,
23.861,1215.14,3031.27,1744.89,50.4,REFRACTORY,close,
23.909,1410.24,3422.68,1888.77,53.6,REFRACTORY,close,
23.956,1339.58,3573.77,1922.58,48.8,REFRACTORY,close,
24.003,1367.39,3547.24,1904.76,44.3,REFRACTORY,close,
24.043,1567.85,3539.40,1848.11,37.7,REFRACTORY,close,
24.096,1322.34,3613.08,1864.14,26.7,REFRACTORY,close,
